영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
발레리나,"액션, 스릴러",렌 와이즈먼,"아나 디 아르마스, 키아누 리브스, 안젤리카 휴스턴, 가브리엘 번, 노먼 리더스, 이안 맥쉐인, 랜스 레드딕, 정두홍, 최수영",20250806,https://image.tmdb.org/t/p/w500/rGe64vmd9cpvwiTD5OGWJezBnNg.jpg,"살해당한 아버지의 복수를 원하는 이브는 전설적인 킬러 존 윅을 배출한 암살자 양성 조직 루스카 로마에서 혹독한 훈련을 거쳐 발레리나이자 킬러로 성장한다. 아버지의 죽음에 얽힌 자들을 쫓던 이브는 루스카 로마를 뛰어넘는 거대한 조직의 정체를 알아차리게 되고, 킬러들의 표적이 된 이브의 눈앞에 존 윅이 나타나는데…"
배드 가이즈 2,"애니메이션, 액션",피에르 페리펠,"샘 록웰, 크레이그 로빈슨, 안소니 라모스, 아콰피나, 재지 비츠",20250730,https://image.tmdb.org/t/p/w500/1oG69MtmZGovhho0pPgRY9d1qrU.jpg,착하게 살기 위해 무지하게 애쓰는 자타공인 최고의 나쁜 녀석들이 새롭게 등장한 '배드 걸즈'로 인해 일생일대의 글로벌 범죄 작전에 휘말리며 벌어지는 범죄오락액션 블록버스터
식스데이즈,"드라마, 다큐멘터리",황재석,,20250813,https://image.tmdb.org/t/p/w500/ql1fHwg84YvIRztGFnJjC9gJVqu.jpg,"언제나 변치 않는, 그러나 매일이 새로울 밴드 DAY6, 네 청년의 잊지 못할 여름, 한 페이지를 만나다. 올해로 데뷔 10주년을 맞은 밴드 DAY6, 성공적인 월드투어를 마친 그들이 무작정 미국으로 떠난다. ""이번에도, 놀다옵시다!"" 정해진 방향도, 목적지도 없이 그저 음악과 낭만을 따라 달린 6일 간의 로드트립. 그 순탄치만은 않은 여정 속에서 낯선 풍경, 뜻밖의 인연, 예상치 못한 사건들을 마주하게 되고, 행운같은 한 페이지가 펼쳐진다. 비로소 청춘의 순간을 오롯이 누리는 DAY6의 '6DAYS'. 아름다운 풍경을 배경으로 기록된 시네마틱 여정, 그 끝에는 언제나 음악이 있었다."
베베핀 극장판: 사라진 베베핀과 핑크퐁 대모험,애니메이션,변희선,"조경이, 엠머슨브룩김, 이현경, 김해나, 강은애",20250724,https://image.tmdb.org/t/p/w500/i8TgnFOnrdh4O7DJPaNLmyo0njj.jpg,"베베핀이 태블릿 속으로 사라졌어요! 사라진 베베핀을 찾아 보라와 브로디가 떠난 핑크퐁 나라! 유니콘과 티렉스 만나기, 해적왕 되기, 아기상어와 숨바꼭질까지… 그동안 꿈꿔온 모든 상상이 이루어지는 곳! 그런데… 마법에 꼭 필요한 핑크퐁의 별빛봉을 베베핀이 가져갔어요! 보라와 브로디는 핑크퐁과 함께 태블릿 배터리가 닳기 전 동생을 찾아 엄마와 아빠의 곁으로 돌아갈 수 있을까요? 모두의 꿈이 이루어지는 상상의 나라로, 한여름 밤의 모험 출발!"
노이즈,"공포(호러), 스릴러",김수진,"이선빈, 김민석, 한수아, 류경수, 전익령, 백주희, 안석현, 이은미",20250625,https://image.tmdb.org/t/p/w500/tPOcNetZHfmn97V93TikhWDXj4T.jpg,"내 집 마련에 성공한 주영과 주희 자매. 어느 날부터 아파트 어딘가에서 들려오는 정체불명의 층간소음에 시달린다. 그러던 중 동생 주희와 연락이 끊기자 불안에 휩싸인 주영은 급히 지방 공장에서 집으로 돌아오고, 주희의 남자친구 기훈과 함께 실종된 동생을 추적하기 시작한다. 한편, 자매와 마찬가지로 층간소음에 시달리던 아랫집 남자는 그 소음의 근원이 윗집 자매에게 있다고 생각해 살인 협박을 하게 되는데…."
쥬라기 월드: 새로운 시작,"어드벤처, 액션, 스릴러, 공포(호러)",가렛 에드워즈,"스칼렛 요한슨, 마허샬라 알리, 조나단 베일리, 루퍼트 프렌드, 마누엘 가르시아 룰포",20250702,https://image.tmdb.org/t/p/w500/ygr4hE8Qpagv8sxZbMw1mtYkcQE.jpg,"지구 최상위 포식자가 된 공룡들이 인간 세상으로 나온 5년 후, 인간과 공룡의 위태로운 공존이 이어지는 가운데 인류를 구할 신약 개발을 위해 육지, 하늘, 바다를 지배하는 가장 거대한 공룡들의 DNA가 필요하게 된다. 불가능한 미션 수행을 위해 조라와 헨리 박사 그리고 던컨은 공룡들을 추적하며 지구상에서 가장 위험한 섬에 도착하고 폐쇄된 쥬라기 공원의 연구소가 감추어 온 충격적인 진실을 마주하게 되는데..."
슈퍼맨,"액션, 어드벤처",제임스 건,"데이비드 코런스웻, 레이첼 브로스나한, 니콜라스 홀트",20250709,https://image.tmdb.org/t/p/w500/kCXGCEsDqjzWJVDyHgBUg0AMetT.jpg,"슈퍼맨은 오늘도 세계 곳곳의 위협에 맞서 싸우지만, 시민들의 반응은 극과 극으로 갈린다. 한편, 렉스 루터는 슈퍼맨을 무너뜨릴 비밀을 손에 넣고 역대 최강의 슈퍼-빌런들과 함께 총 공격에 나선다. 슈퍼맨은 첫 패배와 함께 이들의 계속된 공세에 직면하고 모든 것을 바로잡기 위해 슈퍼독 크립토와 함께 맞서게 되는데... 과연 그는 이 전례 없는 위기에서 다시 날아오를 수 있을까?"
28년 후,"공포(호러), 스릴러, 드라마",대니 보일,"조디 코머, 랄프 파인즈, 잭 오코넬",20250619,https://image.tmdb.org/t/p/w500/zRo90O0bTKJem1aDgVa6Sm0gthE.jpg,"28년 전 생물학 무기 연구소에서 세상을 재앙으로 몰아넣은 바이러스가 유출된 후, 일부 생존자들이 모여 철저히 격리된 채 살아가는 섬 홀리 아일랜드. 이곳에서 태어나 한 번도 섬 밖을 나가 본 적 없는 소년 스파이크는 어느 날 섬을 떠나 본토에 발을 들이게 되고 난생처음 바이러스에 잠식된 세상을 마주하게 된다. 변이된 바이러스는 10,228일의 시간 동안 감염자들을 더욱 충격적으로 진화시켰고 스파이크는 그 실체를 목격하며 극강의 공포에 휩싸이게 되는데..."
극장판 도라에몽: 진구의 그림이야기,애니메이션,테라모토 유키요,,20250716,https://image.tmdb.org/t/p/w500/6yp5TbvrXcQ7At7i98Xi2sB1NXe.jpg,"수백억 원의 가치를 지닌 그림이 발견되었다는 뉴스가 보도되는 가운데,  여름방학 숙제로 ‘그림’을 그리고 있던 진구 앞에 갑자기 오래된 그림 조각 하나가 떨어진다.  도라에몽과 진구는 비밀도구 ‘들어가는 라이트’를 사용해 그림 속으로 탐험을 떠나고  그곳에서 신비로운 소녀 클레어와 만나게 된다.  그런데 그곳은 바로 뉴스에서 화제가 된 그림 속에 그려진 중세 유럽 ‘아트리아 공국’이었다!  그곳 어딘가에는 ‘아트리아 블루’라는 환상의 보석이 숨겨져 있다고 하는데…  환상의 보석의 비밀을 파헤치는 도라에몽과 친구들.  하지만, ‘아트리아 공국’에 전해 내려오는 ‘세계 멸망’의 전설이 깨어나며 모두가 큰 위기에 빠진다!  과연 도라에몽과 친구들은 전설을 뒤집고 세계를 구할 수 있을까?"
메간 2.0,"공포(호러), 기타",제라드 존스톤,"앨리슨 윌리암스, 바이올렛 맥그로우, 브라이언 조던 알바레즈, 젠 밥 엡스, 에이미 도날드, 제나 데이비스, 이바나 사크노, 아리스토틀 아타리, 팀 샤프, 제메인 클레멘트",20250716,https://image.tmdb.org/t/p/w500/5dDIFCUsDD5rFvBmT8Hl3bwXAm0.jpg,강제 종료 후 다시 돌아온 돌AI ‘메간’. 쌍돌AI ‘아멜리아’의 위협으로 ‘메간’의 유일한 친구 ‘케이디’ 목숨이 위태로워지자 ‘젬마’의 기술로 완전히 새롭게 진화한 메간이 다시 태어난다.
커미션,"미스터리, 스릴러",신재민,"김현수, 김용지, 김진우, 정재오, 남명렬, 주석태, 연이안, 서동수, 원호섭, 정지철, 한상조",20250716,https://image.tmdb.org/t/p/w500/pxZR1trAGLY3k8pFpA7bYiUaDT5.jpg,"웹툰 작가를 꿈꾸는 미술 강사 단경. 현실에선 무시당하던 그녀가, 처음으로 필요한 사람이 된 공간은 다크웹이었다. 익명의 의뢰인, 알 수 없는 메시지. 그리고 시작된 커미션. 그림이 완성되고, 현실에서 같은 장면의 범죄가 벌어졌다. 누가, 왜, 그녀에게 그리게 하는 걸까?"
드래곤 길들이기,"액션, 어드벤처, 판타지",딘 데블로이스,"메이슨 테임즈, 제라드 버틀러, 니코 파커, 닉 프로스트, 줄리안 데니슨, 가브리엘 하웰, 브론윈 제임스, 해리 트레발드윈, 이대휘, 장예나, 안장혁, 최석필, 남도형, 박주광, 이상호, 김보나, 김자연, 김민주, 김서현, 장채연, 이동윤, 원종준, 오건우",20250606,https://image.tmdb.org/t/p/w500/frXkpt1dLKO3iDbmBsjQUKseLiS.jpg,"수백년간 지속되어온 바이킹과 드래곤의 전쟁. 드래곤을 없애는 것이 삶의 모든 목적인 바이킹들과 다른 신념을 가진 '히컵'은 무리 속에 속하지 못하고 족장인 아버지에게도 인정받지 못한다. 그러던 어느 날, 히컵은 베일에 싸인 전설의 드래곤 나이트 퓨어리인 '투슬리스'와 만나게 되고, 드래곤을 죽이라는 바이킹의 신념을 깨고 '투슬리스'와 친구가 된다. 하지만 드래곤을 죽여야 된다고 믿는 바이킹 족과 모든 드래곤을 위협하는 더 거대한 존재와 맞닥뜨리게 된 '히컵'과 '투슬리스'. 세상을 변화시키기 위한 특별한 여정을 시작하게 되는데... 다르다는 건, 특별하다는 것. 세상을 바꿀 우리들의 모험이 시작된다!"
하이파이브,"코미디, 액션",강형철,"이재인, 안재홍, 유아인, 라미란, 김희원, 김수혁, 오정세, 신구, 박진영, 진희경, 장광, 박형수, 유승목, 안승균, 오하늬, 김원해, 이동휘, 현봉식, 정다원, 윤지수, 문도선, 박병렬, 이태영, 강효준, 김종태, 임채선, 이환진, 노익현, 류경환, 장준현, 박우준, 이규영, 최은경, 임한나, 배한용, 이승철, 김희상, 임서영, 최동구, 김태순, 송병훈, 윤정로, 최원, 김기남, 한주미, 나진수, 김우택, 유진호, 김영조, 김봉희, 박경현, 박복만, 박노아, 김민규",20250530,https://image.tmdb.org/t/p/w500/xpqa2ShXecFxMUGKv82Zx56ZoUD.jpg,"태권소녀 완서, 작가 지망생 지성, 후레쉬 매니저 선녀,  FM 작업반장 약선 그리고 힙스터 백수 기동. 의문의 장기 기증자로부터 각각 심장과 폐, 신장, 간, 각막을 이식받은 다섯 사람. 그런데 건강해진 몸과 함께 생각지도 못한 초능력이 덤으로 딸려왔다! 자신만의 표식을 통해 서로의 존재를 확인하고 한 팀을 결성하기로 의기투합하지만 능력도 성격도 취향도 제각각, 모이기만 하면 다툼과 사고가 끊이지 않는다. 한편, 췌장을 이식받고 마찬가지로 특별한 능력을 얻게 된 새신교 교주 영춘은 평생 꿈꿔온 절대자가 되기 위해 나머지 이식자들을 찾아 나서는데…"
신명,"드라마, 미스터리",김남균,"김규리, 안내상, 박찬우, 최지현, 신선희, 이주미, 안민영, 박지서, 동방우, 김인우, 김현아, 조경현, 곽나현, 박선웅",20250602,https://image.tmdb.org/t/p/w500/7N1A0ZhfJLO9hIS92neHr6wRVyl.jpg,"어린 시절, 분신사바를 시작으로 주술에 심취한 윤지희. 남자를 이용해 원하는 것을 얻을 수 있다는 사실을 깨달은 그녀는 성형으로 얼굴을 바꾸기 시작해서 이름, 학력, 신분까지 위조해 전혀 다른 삶을 살아간다. 그러던 중 권력의 맛을 본 윤지희는 마침내 대한민국을 손에 넣겠다는 야망에 사로잡히고 필요하다면 주술로 사람의 목숨조차 앗아갈 만큼 잔혹한 행보를 이어간다. 믿을 수 없는 사건들이 연이어 벌어지고, 그럴수록 그녀는 점점 목적지에 가까워진다.  한편 정현수 PD와 탐사보도 기자들은 대선 후보로 급부상한 검사 출신 정치인 김석일과 그녀를 추적하던 중 둘 사이의 수상한 연결고리에 강한 의혹을 품고 점점 더 그녀에게 가까이 다가가게 된다. 하지만 끔찍한 진실에 다가갈수록 정PD는 점점 더 위험한 그림자에 쫓기게 되는데…  과연 그는 그녀의 실체에 닿을 수 있을까?"
미션 임파서블: 파이널 레코닝,액션,크리스토퍼 맥쿼리,"톰 크루즈, 헤일리 앳웰, 빙 라메스, 사이먼 페그, 바네사 커비, 에사이 모랄레스, 폼 클레멘티에프",20250517,https://image.tmdb.org/t/p/w500/c5pDU8SW0ZbmO5jHfw7fX6keyyR.jpg,"디지털상의 모든 정보를 통제할 수 있는 사상 초유의 무기로 인해 전 세계 국가와 조직의 기능이 마비되고, 인류 전체가 위협받는 절체절명의 위기가 찾아온다. 이를 막을 수 있는 건 오직 존재 자체가 기밀인 에단 헌트와 그가 소속된 IMF뿐이다. 무기를 무력화하는 데 반드시 필요한 키를 손에 쥔 에단 헌트. 오랜 동료 루터와 벤지, 그리고 새로운 팀원이 된 그레이스, 파리, 드가와 함께 지금껏 경험했던 그 어떤 상대보다도 강력한 적에 맞서 모두의 운명을 건 불가능한 미션에 뛰어든다."
인생은 아름다워,"드라마, 전쟁, 코미디",로베르토 베니니,"로베르토 베니니, 니콜레타 브라시",19990306,https://image.tmdb.org/t/p/w500/iyQ8pmCpmnPrGtaHMfmSvQLv8Fy.jpg,"로마에 갓 상경한 시골 총각 귀도는 운명처럼 만난 여인 도라에게 첫눈에 반한다. 넘치는 재치와 유머로 약혼자가 있던 그녀를 사로잡은 귀도는 가정을 꾸리며 분신과도 같은 아들 조수아를 얻는다. 조수아의 다섯 살 생일, 갑작스레 들이닥친 군인들은 귀도와 조수아를 수용소 행 기차에 실어버리고, 소식을 들은 도라 역시 기차에 따라 오른다. 귀도는 아들을 달래기 위해 무자비한 수용소 생활을 단체게임이라 속이고 1,000점을 따는 우승자에게는 진짜 탱크가 주어진다고 말한다. 하루하루가 지나 어느덧 전쟁이 끝났다는 말을 들은 귀도는 조수아를 창고에 숨겨둔 채 아내를 찾아 나서는데..."
릴로 & 스티치,애니메이션,딘 플라이셔 캠프,크리스 샌더스,20250521,https://image.tmdb.org/t/p/w500/ww7jn7lv1YzTAGd5m0R6CP1VXAs.jpg,"보송보송한 파란 솜털, 호기심 가득한 큰 눈, 장난기 가득한 웃음을 가졌지만 가장 위험한 실험체 취급을 받던 스티치는 우주에서 도망쳐 지구의 하와이 섬에 불시착하게 된다. 단짝 친구를 원하던 외톨이 소녀 릴로는 별똥별과 함께 나타난 귀여운 파란색 강아지 스티치와 소중한 친구이자, 하나의 가족이 되어가며 외로웠던 일상이 유쾌하게 변하기 시작한다. 그러던 어느 날, 스티치를 잡아 우주로 되돌아가려는 정체불명의 요원들이 등장하고 릴로와 스티치는 예상치 못한 상황을 마주하게 되는데..!"
브링 허 백,공포(호러),"대니 필리푸, 마이클 필리푸",샐리 호킨스,20250606,https://image.tmdb.org/t/p/w500/A4W0yRN7Xy6JLIhRymIh5plK2Zj.jpg,"아빠의 죽음 후 새엄마에게 입양된 남매 앤디와 파이퍼. 평화로운 집, 따뜻한 보금자리에서의 안식도 잠시 새엄마는 두 남매 사이를 갈라놓으며 앤디와 파이퍼를 혼란에 빠트린다. 고립된 집, 집 안 곳곳에서 발견되는 정체를 알 수 없는 의식의 흔적들, 새엄마가 숨긴 끔찍한 비밀이 드러나면서 남매를 극한의 공포 상황으로 몰아붙이기 시작하는데… 보지 말아야 할 것을 본 두 사람은 과연 살아남을 수 있을까!"
소주전쟁,드라마,,"유해진, 이제훈, 손현주, 최영준, 김기해, 한상조, 이하정, 윤지혜, 이서환, 박지일, 김다흰, 정형석, 최교식, 이창호, 김문식, 심우성, 심우성, 이선구, 최희진, 허진우, 정용식",20250530,https://image.tmdb.org/t/p/w500/eUiliFwnCR4OkKJuQiXhK5uF6zJ.jpg,"1997년 IMF 외환위기, 독보적인 맛으로 전국을 평정했던 국보소주가 자금난에 휘청거린다. 이 타이밍을 눈여겨보던 글로벌 투자사 솔퀸의 직원 인범은 국보소주 매각을 위해 회사에 접근하고, 국보소주가 곧 자신의 인생인 국보그룹의 재무이사 종록은 회사를 살려보겠다는 일념으로 스마트한 인범에게 오롯이 의지한다. 한평생 몸바친 회사를 지키려는 종록과, 회사를 삼키려는 목표를 숨기고 종록에게 접근한 인범. 서로 다른 목적의 두 사람은 소주 하나로 점차 가까워지는데..."
알사탕,애니메이션,니시오 다이스케,,,https://image.tmdb.org/t/p/w500/rdeYncXJslCknmbkZMLDTKNobY5.jpg,소통에 서툰 아이 동동이가 신비한 알사탕을 통해 진심의 목소리들을 듣게 되며 비로소 타인의 마음을 이해하고 자신의 마음을 전하게 되는 이야기
야당,"범죄, 액션",황병국,"강하늘, 유해진, 박해준, 류경수, 채원빈, 유성주, 김금순, 조완기, 곽자형, 김성현, 이수아, 박준기, 김민규, 이건영, 송하선, 우아름, 오충근, 윤태수, 윤현길, 박지홍, 우지현, 홍서준, 권혁, 정도원, 이정수, 박완규, 박민이, 한동원, 공재민, 김병희, 김정팔, 장용철, 박윤희, 서광재, 김예지, 이주석, 최홍락, 백진욱, 이시엘, 허웅, 홍성오, 송유하, 조하성, 차희, 장남수, 설창희, 서문호, 손인용, 윤종구, 선연수, 윤소희, 손다연, 강한별, 김이석, 김미숙, 이동규, 김경아, 하동준, 김주희, 현오봉, 양권석, 한성수, 안진희, 이동용, 김대근, 조창래, 김민범, 송윤하, 김지원, 추은경, 이주미, 김사훈, 정해진, 송대규, 최민, 박민제, 이한준, 이순풍, 전진우, 박도영, 신동호, 윤현승, 차솔몬, 이진아, 김홍표, 엄기영",20250416,https://image.tmdb.org/t/p/w500/k4yTwFqvQDApqaoFdgubsbYcuno.jpg,"누명을 쓰고 교도소에 수감된 이강수는 검사 구관희로부터 감형을 조건으로 야당을 제안받는다. 강수는 관희의 야당이 돼 마약 수사를 뒤흔들기 시작하고, 출세에 대한 야심이 가득한 관희는 굵직한 실적을 올려 탄탄대로의 승진을 거듭한다.  한편, 마약수사대 형사 오상재는 수사 과정에서 강수의 야당질로 번번이 허탕을 치고, 끈질긴 집념으로 강수와 관희의 관계를 파고든다.  마약판을 설계하는 브로커 강수, 더 높은 곳에 오르려는 관희, 마약 범죄 소탕에 모든 것을 건 상재. 세 사람은 각자 다른 이해관계로 얽히기 시작하는데…"
A MINECRAFT MOVIE 마인크래프트 무비,"어드벤처, 판타지",자레드 헤스,"제이슨 모모아, 잭 블랙",20250426,https://image.tmdb.org/t/p/w500/k5aQ2TqKcQFwPoXHkpAGoKNVDLZ.jpg,"왕년의 게임 챔피언이었지만 지금은 폐업 직전의 게임샵 주인이 된 '개릿'과 엄마를 잃고 낯선 동네로 이사 온 남매 '헨리'와 '나탈리' 그리고 그들을 돕는 부동산 중개업자 '던'. 이들은 ‘개릿’이 수집한 ‘큐브’가 내뿜는 신비한 빛을 따라가다 어느 폐광 속에 열린 포털을 통해 미지의 공간으로 빨려들어간다. 산과 나무, 구름과 달, 심지어 꿀벌까지 상상하는 모든 것이 네모난 현실이 되는 이곳은 바로 ‘오버월드’. 일찍이 이 세계로 넘어와 완벽하게 적응한 ‘스티브’를 만난 네 사람은 지하세계 ‘네더’를 다스리는 마법사 ‘말고샤’의 침공으로 ‘오버월드’가 위험에 빠졌다는 사실을 알게 된다. 현실 세계로 돌아가기 위해서는 일단 살아남아야 하는 법! 다섯 명의 ‘동글이’들은 ‘오버월드’를 구하기 위해 힘을 합치게 되는데…"
파과,"액션, 드라마, 미스터리",민규동,"이혜영, 김성철, 연우진, 옥자연, 현봉식, 정현준, 윤채나, 길해연, 박지아, 박명신, 권다함, 리민, 윤슬, 최민철, 한해인, 김강우, 김무열, 최무성, 신시아, 천호진, 이용녀, 기주봉, 조한철, 남명렬, 전노민, 양주미, 양주미, 조경현, 복세훈",20250430,https://image.tmdb.org/t/p/w500/du65x58CJrMMThuiT85kBFMYi0Z.jpg,"40여 년간 감정 없이 바퀴벌레 같은 인간들을 방역해온 60대 킬러 조각. 대모님이라 불리며 살아있는 전설로 추앙받지만 점차 오랜 시간 몸담은 회사 신성방역에서조차도 한물간 취급을 받는다. 한편, 평생 조각을 쫓은 젊고 혈기 왕성한 킬러 투우는 신성방역의 일원이 되고 조각에게서 시선을 떼지 않는다. 지켜야 할 건 만들지 말자고 약속했던 조각은 여전한 실력에도 불구하고 상처를 입은 그날 밤, 자신을 치료해 준 수의사 강선생과 그의 딸에게 남다른 감정을 느낀다. 투우는 그런 낯선 조각의 모습에 분노가 폭발하는데…"
썬더볼츠＊,"액션, 어드벤처",제이크 슈레이어,"플로렌스 퓨, 세바스찬 스탠, 와이어트 러셀, 올가 쿠릴렌코, 크리스 바우어, 데이빗 하버, 해나 존-케이먼, 줄리아 루이스 드레퓌스",20250430,https://image.tmdb.org/t/p/w500/iTX4O9gb8Jn0F5N5WgYnbIopdnP.jpg,"어벤져스가 사라진 후, 세계 최대의 위협과 마주한 세상을 구하기 위해 전직 스파이, 암살자, 살인 청부 업자 등 마블의 별난 놈들이 펼치는 예측불허 팀플레이를 담은 액션 블록버스터"
파이널 데스티네이션 블러드라인,공포(호러),"아담 B. 스테인, 잭 리포브스키","케이틀린 산타 후아나, 테오 브리오네스, 리처드 하몬, 오웬 패트릭 조이너, 안나 로어, 브렉 배싱어, 토니 토드",20250514,https://image.tmdb.org/t/p/w500/agaIglFrRGuUQOzkhzlrvcjJgt2.jpg,"끝없는 악몽에 시달리던 스테파니는 그 원인을 찾던 중 집안 대대로 내려오는 죽음의 저주와 그 실체를 알게 된다. 놀랍게도, 죽음의 순서가 자신의 가족에게 이어졌음을 알게 되는데...  이제, 다음 차례는 누구?"
라이즈 오디세이 프리미어 인 시네마,다큐멘터리,,,,https://image.tmdb.org/t/p/w500/kwMbnCGrk2kc3fH3O1321j0LmUB.jpg,"타이틀 곡 ‘Fly Up’(플라이 업)부터 ‘Odyssey’, ‘Bag Bad Back’(백 배드 백), ‘잉걸 (Ember to Solar)’, ‘Show Me Love’(쇼 미 러브), ‘Passage’(패시지), ‘Midnight Mirage’(미드나이트 미라지), ‘모든 하루의 끝 (The End of the Day), ‘Inside My Love’(인사이드 마이 러브), ‘Another Life’(어나더 라이프)까지... RIIZE만의 독자적 장르 ‘이모셔널 팝'의 본격적인 여정이 시작된다."
해피엔드,드라마,소라 네오,"쿠리하라 하야토, 히다카 유키토, 하야시 유타, 시나 펭, 아라지, 이노리 키라라, 나카지마 아유무",20250430,https://image.tmdb.org/t/p/w500/ygmHz3xbzqw4XqYMev2b6V087SZ.jpg,"점멸등이 일렁이는 근미래의 도쿄.  음악에 빠진 고등학생 유타와 코우는 친구들과 함께 자유로운 나날을 보낸다  동아리방을 찾아 늦은 밤 학교에 잠입한 그들은 교장 나가이의 고급 차량에 발칙한 장난을 치고, 분노한 학교는 AI 감시 체제를 도입한다  그날 이후 그들을 둘러싼 모든 것이 조금씩 달라지기 시작하는데…"
거룩한 밤: 데몬 헌터스,액션,임대희,"마동석, 서현, 이다윗, 경수진, 정지소, 최광일, 류승수, 전익령, 맹승영, 박건희, 박주원, 송요셉, 박옥출, 한기중, 이다일, 윤지원, 남미정, 박기선, 차우진, 김도건, 서문호, 이성우, 이재석, 이태영, 임용순, 나경철, 이시형, 이원행, 정윤성, 류성철, 노재훈, 김산성, 최홍락, 정경숙, 이영준, 홍지우, 임서아, 이서경, 이다령, 황태희, 이건구, 권지훈, 김석진, 조승연, 황영윤, 윤기현, 정신영, 문경린, 이원행, 김진우, 박승진, 김예성, 민선기, 민선기, 지륜, 김태윤, 김우람, 윤진율, 현승환, 유성곤, 서문호, 최진호, 박현준",20250430,https://image.tmdb.org/t/p/w500/7MGnHpfhF8savUsrUJoI8Q7dTk9.jpg,"악마와 그를 쫓는 어둠의 숭배자들로 인해 혼란에 빠지게 된 도시. 공권력조차 이들 앞에서 무력해지자 특별한 능력을 가진 어둠의 해결사 거룩한 밤 팀 바우, 샤론, 김군이 직접 악의 무리를 처단하고자 한다. 그러던 중 갑자기 동생 은서가 이상증세를 보인다는 의뢰인 정원이 찾아오고 그 안에서 지금껏 본 적 없던 강력한 존재의 기운을 느끼는데… 과연 거룩한 밤 팀은 악의 무리에 맞서 세상을 구원해 낼 수 있을까?"
승부,드라마,김형주,"이병헌, 유아인, 고창석, 현봉식, 문정희, 김강훈, 남문철, 주진모, 전무송, 정석용, 조우진, 손종학, 김이산",20250326,https://image.tmdb.org/t/p/w500/x1xHVv5rdvvCjF5wmGhtbHrlUgo.jpg,"세계 최고 바둑 대회에서 국내 최초 우승자가 된 조훈현. 전 국민적 영웅으로 대접받던 그는 바둑 신동이라 불리는 이창호를 제자로 맞는다. 제자와 한 지붕 아래에서 먹고 자며 가르친 지 수년. 모두가 스승의 뻔한 승리를 예상했던 첫 사제 대결에서 조훈현은 전 국민이 지켜보는 가운데, 기세를 탄 제자에게 충격적으로 패한다. 오랜만에 패배를 맛본 조훈현과 이제 승부의 맛을 알게 된 이창호. 조훈현은 타고난 승부사적 기질을 되살리며 다시 한번 올라갈 결심을 하게 되는데…"
브리짓 존스의 일기: 뉴 챕터,"코미디, 멜로/로맨스, 드라마",마이클 모리스,"르네 젤위거, 휴 그랜트, 엠마 톰슨, 치웨텔 에지오포, 레오 우달",20250416,https://image.tmdb.org/t/p/w500/83oQ32Gnj6JqudAK8Ws9Gf7mUWz.jpg,"4년 전, 사랑하는 남편 '마크 다아시'를 잃고 싱글맘으로 살아가던 '브리짓 존스'. 정체된 그녀의 삶을 걱정하는 주변인들의 권유와 압박으로 데이팅 앱에서 매력적인 연하남과 만나 오랜만에 설레는 사랑의 감정을 되찾는 한편 방송국에도 복직해 일과 가정, 로맨스를 병행하게 된다.  고군분투하며 최선을 다하지만 연하남과의 연애도, 직장 생활도, 아이들과의 관계도 모든 것이 쉽지 않은 상황 속에서 ‘브리짓’은 무엇이 정말 자신을 위한 삶인지 고민하게 되는데…"
마리아,드라마,파블로 라라인,"안젤리나 졸리, 피에르프란체스코 파비노, 알바 로르와처",20250416,https://image.tmdb.org/t/p/w500/h97lPnUSidDvPuZqetCRr0QUNzG.jpg,"음악이 인생의 전부였고 무대가 존재의 이유였던 세기의 프리마돈나, 불멸의 소프라노, 마리아 칼라스가 오로지 자신만을 위해 준비한 마지막 무대."
열혈검사,액션,견자단,"견자단, 장지림, 오진우",20250416,https://image.tmdb.org/t/p/w500/lWItoP2bXrV1yJYOqJjEVei8Zdj.jpg,"마약 밀매 혐의로 기소된 청년의 사건을 맡게 된 형사 출신 검사 ‘곽자호’(견자단). 곽자호는 사건을 담당한 구백문 변호사의 부당한 변호로 청년이 억울하게 기소되었다는 사실을 알게 된다. 수사를 진행할수록 홍콩에 마약을 유통하는 거대 조직의 뒤를 구백문 변호사가 봐주고 있다는게 밝혀지고, 곽자호는 정의를 위해 목숨과 경력을 걸고 수사에 나서는데…."
로비,"드라마, 코미디",하정우,"하정우, 김의성, 강해림, 이동휘, 박병은, 강말금, 최시원, 차주영, 박해수, 곽선영, 김용우",20250402,https://image.tmdb.org/t/p/w500/9fFSXOoqiUi7bhEs1jt24SsPmpx.jpg,"연구밖에 모르는 스타트업 대표 창욱은 라이벌 회사 대표 광우의 뒷거래 때문에 기회도, 기술도 번번히 빼앗긴다. 그의 회사의 유일한 탈출구는 4조 원에 달하는 국책사업을 따내어, 한방에 자본을 확보하는 것! 하지만 로비에 있어선 한수 위인 광우는 조장관을 일찌감치 포섭한 상황, 창욱은 눈을 돌려 조장관의 최측근이자 실무를 쥐고 있는 남편 최실장에게 접근해 더러운 싸움에 참전하게 되는데... 마침내 뒷거래가 이뤄지는 골프장에 한날 한시 각자의 목적을 위해 모인 로비팀들, 이들의 진흙탕 로비가 펼쳐진다!"
