영화제목,장르,감독,배우,개봉일,포스터이미지,영화줄거리
런닝맨: 라이트&쉐도우,애니메이션,윤준상,"김서영, 엄상현, 권창욱, 김연우, 강시현, 전태열, 사문영, 남도형, 신경선",20260411,https://image.tmdb.org/t/p/w500/khtyZwS1E944FFUlPDEuuyTFbL2.jpg,"수차례에 걸쳐 세상을 구한 런닝맨들은 트리시티의 대스타로 절대적인 지지를 받고 있다. 그러던 어느 날 런닝맨들이 돌연 위험한 악당이 되어 시민들을 공격하기 시작하는데… 1,000년 간 그림자 속에서 세상의 밸런스를 지켜온 비밀 조직 메트로놈은 흑화한 런닝맨을 제거하기 위해 전면전을 선포한다. 메트로놈의 에이전트 레마는 런닝맨의 갑작스런 변화를 수상히 여기며 수사를 시작하고, ‘빛’과 ‘그림자’, 런닝맨과 메트로놈. 서로를 향한 총구를 겨누며 펼쳐지는 역대급 초능력 대결—트리시티의 진짜 적은 과연 누구인가?"
호퍼스,애니메이션,다니엘 총,"파이퍼 쿠르다, 바비 모니한, 존 햄, 메릴 스트립",20260304,https://image.tmdb.org/t/p/w500/vJu9THzQ26Q5sWOVnhOkuRH5M1P.jpg,"오랜 연구 끝에 개발한 ‘호핑’ 기술로 동물 세계에 가까이 갈 수 있음을 알게 된 주인공 ‘메이블’은 마치 ‘아바타’ 같다며 신기해하고, 직접 로봇 비버가 되어 동물들의 세계에 잠입한다. 그들의 말을 알아듣게 된 ‘메이블’은 진짜 동물이 된 것처럼 동물 세상을 경험하는 가운데, 연못에 있던 다른 비버에게 달려드는 곰을 막아서지만 그들에겐 그들만의 질서와 법칙이 있다는 사실을 알게 된다. ‘호핑‘ 기술을 개발한 박사는 이 기술을 자연계 질서를 어지럽히는 데 쓰면 안 된다고 경고하지만, ‘메이블’은 통신을 끊어버려 이후 예측불가의 모험이 펼쳐질 것을 예고한다."
극장판 귀멸의 칼날: 무한성편,애니메이션,소토자키 하루오,"하나에 나츠키, 키토 아카리, 시모노 히로, 마츠오카 요시츠구, 오카모토 노부히코, 사쿠라이 타카히로, 코니시 카츠유키, 카와니시 켄고, 하야미 사오리, 하나자와 카나, 스즈무라 켄이치, 세키 토모카즈, 스기타 토모카즈",20250822,https://image.tmdb.org/t/p/w500/m6Dho6hDCcL5KI8mOQNemZAedFI.jpg,"혈귀로 변해버린 여동생 네즈코를 인간으로 되돌리기 위해 혈귀를 사냥하는 조직인 《귀살대》에 입대한 카마도 탄지로. 입대 후 동료인 아가츠마 젠이츠, 하시비라 이노스케와 함께 많은 혈귀와 싸우고, 성장하면서 세 사람의 우정과 유대는 깊어진다. 탄지로는 《귀살대》 최고위 검사인 《주》와도 함께 싸웠다. 「무한열차」에서는 염주・렌고쿠 쿄쥬로, 「유곽」에서는 음주・우즈이 텐겐, 「도공 마을」에서는 하주・토키토 무이치로, 연주・칸로지 미츠리와 함께 혈귀를 상대로 격렬한 전투를 벌였다. 그 후 다가올 혈귀와의 결전에 대비해 귀살대원들과 함께 《주》가 주도하는 합동 강화 훈련에 참가해 훈련을 받던 도중 《귀살대》의 본부인 우부야시키 저택에 나타난 키부츠지 무잔. 어르신의 위기에 달려온 《주》들과 탄지로였지만, 무잔의 술수로 의문의 공간으로 떨어지고 말았는데. 탄지로 일행이 떨어진 곳, 그곳은 혈귀의 본거지 《무한성》─ “귀살대”와 “혈귀”의 최종 결전의 포문이 열린다."
위 리브 인 타임,"멜로/로맨스, 드라마",존 크로울리,"플로렌스 퓨, 앤드류 가필드",20260408,https://image.tmdb.org/t/p/w500/i8HPNRsXx9Cen4CkSWMk94t6gHM.jpg,본인의 레스토랑 오픈을 준비하며 새로운 도약을 꿈꾸는 셰프 ‘알무트’. 최근 이혼을 하면서 삶의 한 챕터를 끝낸 ‘토비아스’. 예기치 못한 만남을 계기로 두 사람은 서로의 삶을 변화시키는 잊지 못할 10년을 보낸다. 우리의 사랑은 함께한 시간에 영원히 남는다.
네가 마지막으로 남긴 노래,멜로/로맨스,미키 타카히로,"미치에다 슌스케, 누쿠미 메루",20260401,https://image.tmdb.org/t/p/w500/sOGzrv0BM5ezVOz1xP8leVPMZzh.jpg,"유난히 눈에 띄지 않는 소년 ‘하루토’와 유난히 빛나는 소녀 ‘아야네’. 글을 읽고 쓰는 데 어려움이 있는 소녀를 대신해 소년은 시를 쓰고, 그 시는 노래가 되어 소녀의 목소리로 세상에 울려 퍼진다. 둘만의 비밀, 오직 둘만의 언어. 말보다 음악이 먼저 닿은 순간, 설렘으로 시작되는 가장 찬란한 청춘 로맨스!"
명탐정 코난: 세기말의 마술사,애니메이션,코다마 켄지,"타카야마 미나미, 야마자키 와카나, 카미야 아키라, 야마구치 캇페이",20260327,https://image.tmdb.org/t/p/w500/mGBjQkACdChVakczn92CfaqWQJH.jpg,"러시아 로마노프 왕조의 유산인 파베르제의 달걀 중 세기말 최후의 보물 ‘메모리즈 에그’가 발견되고, 이를 노리는 괴도 키드의 예고장이 도착한다. 그를 막기 위해 괴도 키드 특별 수사팀과 코난 일행, 서쪽의 고등학생 탐정 핫토리까지 합류한다. 신출귀몰한 괴도 키드는 모두를 따돌리며 ‘메모리즈 에그’를 훔치는 데 성공하지만, 정체불명의 누군가에게 저격당해 행방불명된다. 무사히 달걀을 되찾은 코난은 ‘메모리즈 에그’에 담긴 수수께끼를 발견한다. 달걀의 비밀을 풀기 위해 크루즈를 타고 도쿄로 향하는 코난 일행, 그러나 배 안에서 의문의 살인 사건이 발생하고 진실은 미궁에 빠지는데…"
크라임 101,"범죄, 드라마, 스릴러",바트 레이튼,"크리스 헴스워스, 마크 러팔로, 모니카 바바로, 코리 호킨스, 할리 베리",20260408,https://image.tmdb.org/t/p/w500/77ggpowGO0ORQY9x33NeBIPajm1.jpg,"101번 국도를 따라 흔적도 없이 사라지는 보석들. 전설적인 절도범 ‘데이비스’는 자신만의 규칙 아래 완벽한 범죄를 설계한다. 모두가 혼란에 빠진 사이, 원칙과 집념의 형사 ‘루’만이 범인의 실체를 포착하며 포위망을 좁혀간다. 거대한 보험금을 노린 ‘데이비스’는 보험중개인 ‘샤론’에게 위험한 거래를 제안하고 완벽했던 계획과 정교한 수사는 예상치 못한 국면으로 치닫는데…"
삼악도,"미스터리, 공포(호러)",채기준,"조윤서, 곽시양, 양주호, 임소영, 장의수, 이푸름",20260311,https://image.tmdb.org/t/p/w500/pOW3ioalNbTjApWkuDvg3DBcdzp.jpg,"일제강점기, 집단 자살 사건 이후 흔적 없이 사라진 사이비 종교 ‘삼선도’. 사회 고발 프로그램 PD 채소연(조윤서)은 일본 나고야TV 기자 마츠다로부터 ‘피의 예언’만 남긴 채 사라진 이 종교에 대한 제보를 받는다. 한 외딴 마을에서 '삼선도'가 여전히 살아 있으며, 예언을 막기 위한 법사들의 봉인 의식이 진행되고 있었다는 것. 마을에 도착한 취재팀은 그곳에서 이미 ‘피의 예언’이 시작되고 있음을 깨닫게 되는데…"
F1 더 무비,"드라마, 액션",조셉 코신스키,"브래드 피트, 하비에르 바르뎀, 케리 콘든",20250625,https://image.tmdb.org/t/p/w500/bvVoP1t2gNvmE9ccSrqR1zcGHGM.jpg,한때 주목받는 유망주였지만 끔찍한 사고로 F1®에서 우승하지 못하고 한순간에 추락한 드라이버 소니 헤이스. 그의 오랜 동료인 루벤 세르반테스에게 레이싱 복귀를 제안받으며 최하위 팀인 APXGP에 합류한다.  그러나 팀 내 떠오르는 천재 드라이버 조슈아 피어스와 소니 헤이스의 갈등은 날이 갈수록 심해지고. 설상가상 우승을 향한 APXGP 팀의 전략 또한 번번이 실패하며 최하위권을 벗어나지 못하고 고전하는데···
휴민트,"액션, 드라마",류승완,"조인성, 박정민, 박해준, 신세경, 정유진, 박명신, 이신기, 하경, 김의성, 장현성, 주보비, 윤경호, 김종수, 김새윤, 우정원, 피어스 콘란, 김은우, 조은형, 손영주, 박한솔, 오은재, 김송은, 조광유, 이은석, 양라희, 오시내, 조성윤, 임채은, 김다빈, 김정연, 이자연, 박지연, 김영비, 재니스, 김성준, 조성재, 이원희, 김진태",20260211,https://image.tmdb.org/t/p/w500/f7sCSLEPRfV2fWQ0RYOtHhnHXuG.jpg,"러시아에서 마약 조직을 추적하던 남한 요원. 북한 요원과 정면충돌하면서, 두 사람은 거대한 위험과 거미줄처럼 얽힌 음모에 휘말린다."
